event,file_size,storage_mode,max_erasures,time
erasure_write,10240,erasure_coding_rs,1,0.0026433467864990234
finished,10240,erasure_coding_rs,1,0.0031728744506835938
erasure_write,10240,erasure_coding_rs,1,0.0025763511657714844
finished,10240,erasure_coding_rs,1,0.0030736923217773438
erasure_write,10240,erasure_coding_rs,1,0.0026235580444335938
finished,10240,erasure_coding_rs,1,0.003150463104248047
erasure_write,10240,erasure_coding_rs,1,0.0026578903198242188
finished,10240,erasure_coding_rs,1,0.003192901611328125
erasure_write,10240,erasure_coding_rs,1,0.002619504928588867
finished,10240,erasure_coding_rs,1,0.0031614303588867188
erasure_write,10240,erasure_coding_rs,1,0.002665281295776367
finished,10240,erasure_coding_rs,1,0.0031816959381103516
erasure_write,10240,erasure_coding_rs,1,0.002557039260864258
finished,10240,erasure_coding_rs,1,0.0030698776245117188
erasure_write,10240,erasure_coding_rs,1,0.0026378631591796875
finished,10240,erasure_coding_rs,1,0.003270864486694336
erasure_write,10240,erasure_coding_rs,1,0.0025599002838134766
finished,10240,erasure_coding_rs,1,0.003120899200439453
erasure_write,10240,erasure_coding_rs,1,0.0027573108673095703
finished,10240,erasure_coding_rs,1,0.0032885074615478516
erasure_write,10240,erasure_coding_rs,1,0.003187417984008789
finished,10240,erasure_coding_rs,1,0.003798961639404297
erasure_write,10240,erasure_coding_rs,1,0.0033197402954101562
finished,10240,erasure_coding_rs,1,0.00397491455078125
erasure_write,10240,erasure_coding_rs,1,0.0025839805603027344
finished,10240,erasure_coding_rs,1,0.003081083297729492
erasure_write,10240,erasure_coding_rs,1,0.0027132034301757812
finished,10240,erasure_coding_rs,1,0.0033159255981445312
erasure_write,10240,erasure_coding_rs,1,0.0026330947875976562
finished,10240,erasure_coding_rs,1,0.0032455921173095703
erasure_write,10240,erasure_coding_rs,1,0.0025644302368164062
finished,10240,erasure_coding_rs,1,0.0030927658081054688
erasure_write,10240,erasure_coding_rs,1,0.0025255680084228516
finished,10240,erasure_coding_rs,1,0.003035306930541992
erasure_write,10240,erasure_coding_rs,1,0.0025818347930908203
finished,10240,erasure_coding_rs,1,0.0031418800354003906
erasure_write,10240,erasure_coding_rs,1,0.002562284469604492
finished,10240,erasure_coding_rs,1,0.0030431747436523438
erasure_write,10240,erasure_coding_rs,1,0.002630949020385742
finished,10240,erasure_coding_rs,1,0.003182649612426758
erasure_write,10240,erasure_coding_rs,1,0.003635883331298828
finished,10240,erasure_coding_rs,1,0.00433802604675293
erasure_write,10240,erasure_coding_rs,1,0.0034911632537841797
finished,10240,erasure_coding_rs,1,0.004243135452270508
erasure_write,10240,erasure_coding_rs,1,0.0026578903198242188
finished,10240,erasure_coding_rs,1,0.003191709518432617
erasure_write,10240,erasure_coding_rs,1,0.0028464794158935547
finished,10240,erasure_coding_rs,1,0.0034797191619873047
erasure_write,10240,erasure_coding_rs,1,0.0027832984924316406
finished,10240,erasure_coding_rs,1,0.0034568309783935547
erasure_write,10240,erasure_coding_rs,1,0.0028252601623535156
finished,10240,erasure_coding_rs,1,0.0033757686614990234
erasure_write,10240,erasure_coding_rs,1,0.0026624202728271484
finished,10240,erasure_coding_rs,1,0.003182649612426758
erasure_write,10240,erasure_coding_rs,1,0.0027894973754882812
finished,10240,erasure_coding_rs,1,0.0033102035522460938
erasure_write,10240,erasure_coding_rs,1,0.0027174949645996094
finished,10240,erasure_coding_rs,1,0.003411531448364258
erasure_write,10240,erasure_coding_rs,1,0.0028345584869384766
finished,10240,erasure_coding_rs,1,0.003499269485473633
erasure_write,10240,erasure_coding_rs,1,0.002899169921875
finished,10240,erasure_coding_rs,1,0.003506898880004883
erasure_write,10240,erasure_coding_rs,1,0.0028018951416015625
finished,10240,erasure_coding_rs,1,0.003469705581665039
erasure_write,10240,erasure_coding_rs,1,0.002741575241088867
finished,10240,erasure_coding_rs,1,0.0034606456756591797
erasure_write,10240,erasure_coding_rs,1,0.0027170181274414062
finished,10240,erasure_coding_rs,1,0.0032510757446289062
erasure_write,10240,erasure_coding_rs,1,0.0025272369384765625
finished,10240,erasure_coding_rs,1,0.0031998157501220703
erasure_write,10240,erasure_coding_rs,1,0.0025475025177001953
finished,10240,erasure_coding_rs,1,0.0031125545501708984
erasure_write,10240,erasure_coding_rs,1,0.0030241012573242188
finished,10240,erasure_coding_rs,1,0.0038514137268066406
erasure_write,10240,erasure_coding_rs,1,0.003896951675415039
finished,10240,erasure_coding_rs,1,0.004614591598510742
erasure_write,10240,erasure_coding_rs,1,0.002691507339477539
finished,10240,erasure_coding_rs,1,0.003373384475708008
erasure_write,10240,erasure_coding_rs,1,0.0031371116638183594
finished,10240,erasure_coding_rs,1,0.0037550926208496094
erasure_write,10240,erasure_coding_rs,1,0.0027990341186523438
finished,10240,erasure_coding_rs,1,0.0033020973205566406
erasure_write,10240,erasure_coding_rs,1,0.0026845932006835938
finished,10240,erasure_coding_rs,1,0.0032739639282226562
erasure_write,10240,erasure_coding_rs,1,0.0033371448516845703
finished,10240,erasure_coding_rs,1,0.0039331912994384766
erasure_write,10240,erasure_coding_rs,1,0.002603769302368164
finished,10240,erasure_coding_rs,1,0.003130674362182617
erasure_write,10240,erasure_coding_rs,1,0.003275156021118164
finished,10240,erasure_coding_rs,1,0.0041735172271728516
erasure_write,10240,erasure_coding_rs,1,0.0025992393493652344
finished,10240,erasure_coding_rs,1,0.0031936168670654297
erasure_write,102400,erasure_coding_rs,1,0.0030813217163085938
finished,102400,erasure_coding_rs,1,0.0036559104919433594
erasure_write,102400,erasure_coding_rs,1,0.0029273033142089844
finished,102400,erasure_coding_rs,1,0.0034537315368652344
erasure_write,102400,erasure_coding_rs,1,0.003003835678100586
finished,102400,erasure_coding_rs,1,0.0036041736602783203
erasure_write,102400,erasure_coding_rs,1,0.0031206607818603516
finished,102400,erasure_coding_rs,1,0.0036225318908691406
erasure_write,102400,erasure_coding_rs,1,0.0037012100219726562
finished,102400,erasure_coding_rs,1,0.0042116641998291016
erasure_write,102400,erasure_coding_rs,1,0.0029883384704589844
finished,102400,erasure_coding_rs,1,0.011509180068969727
erasure_write,102400,erasure_coding_rs,1,0.0030622482299804688
finished,102400,erasure_coding_rs,1,0.003611326217651367
erasure_write,102400,erasure_coding_rs,1,0.003961086273193359
finished,102400,erasure_coding_rs,1,0.004521608352661133
erasure_write,102400,erasure_coding_rs,1,0.003533601760864258
finished,102400,erasure_coding_rs,1,0.004016876220703125
erasure_write,102400,erasure_coding_rs,1,0.002972841262817383
finished,102400,erasure_coding_rs,1,0.003475189208984375
erasure_write,102400,erasure_coding_rs,1,0.0030813217163085938
finished,102400,erasure_coding_rs,1,0.0037789344787597656
erasure_write,102400,erasure_coding_rs,1,0.003014087677001953
finished,102400,erasure_coding_rs,1,0.003568887710571289
erasure_write,102400,erasure_coding_rs,1,0.0030150413513183594
finished,102400,erasure_coding_rs,1,0.003576993942260742
erasure_write,102400,erasure_coding_rs,1,0.004423379898071289
finished,102400,erasure_coding_rs,1,0.0049664974212646484
erasure_write,102400,erasure_coding_rs,1,0.003256559371948242
finished,102400,erasure_coding_rs,1,0.003950595855712891
erasure_write,102400,erasure_coding_rs,1,0.0033364295959472656
finished,102400,erasure_coding_rs,1,0.0038995742797851562
erasure_write,102400,erasure_coding_rs,1,0.0031502246856689453
finished,102400,erasure_coding_rs,1,0.0037817955017089844
erasure_write,102400,erasure_coding_rs,1,0.0033392906188964844
finished,102400,erasure_coding_rs,1,0.004089832305908203
erasure_write,102400,erasure_coding_rs,1,0.004054546356201172
finished,102400,erasure_coding_rs,1,0.004703998565673828
erasure_write,102400,erasure_coding_rs,1,0.003397703170776367
finished,102400,erasure_coding_rs,1,0.004030466079711914
erasure_write,102400,erasure_coding_rs,1,0.0029370784759521484
finished,102400,erasure_coding_rs,1,0.0034704208374023438
erasure_write,102400,erasure_coding_rs,1,0.00299835205078125
finished,102400,erasure_coding_rs,1,0.003592967987060547
erasure_write,102400,erasure_coding_rs,1,0.003697633743286133
finished,102400,erasure_coding_rs,1,0.004415988922119141
erasure_write,102400,erasure_coding_rs,1,0.0031964778900146484
finished,102400,erasure_coding_rs,1,0.0039327144622802734
erasure_write,102400,erasure_coding_rs,1,0.0035276412963867188
finished,102400,erasure_coding_rs,1,0.0041844844818115234
erasure_write,102400,erasure_coding_rs,1,0.003046751022338867
finished,102400,erasure_coding_rs,1,0.0035164356231689453
erasure_write,102400,erasure_coding_rs,1,0.0032014846801757812
finished,102400,erasure_coding_rs,1,0.003682851791381836
erasure_write,102400,erasure_coding_rs,1,0.003008604049682617
finished,102400,erasure_coding_rs,1,0.0035293102264404297
erasure_write,102400,erasure_coding_rs,1,0.003100872039794922
finished,102400,erasure_coding_rs,1,0.003582477569580078
erasure_write,102400,erasure_coding_rs,1,0.003076791763305664
finished,102400,erasure_coding_rs,1,0.003536701202392578
erasure_write,102400,erasure_coding_rs,1,0.003050088882446289
finished,102400,erasure_coding_rs,1,0.0035347938537597656
erasure_write,102400,erasure_coding_rs,1,0.0031681060791015625
finished,102400,erasure_coding_rs,1,0.003618478775024414
erasure_write,102400,erasure_coding_rs,1,0.003086566925048828
finished,102400,erasure_coding_rs,1,0.0036287307739257812
erasure_write,102400,erasure_coding_rs,1,0.0030710697174072266
